"id","descrizione","codiceIdentificativo"
"231","Rafforzamento dell'infrastruttura tecnologica e degli strumenti per la raccolta, l’elaborazione, l’analisi dei dati e la simulazione","M6C2I1.3"
"322","Rafforzamento dell'infrastruttura tecnologica e degli strumenti per la raccolta, l’elaborazione, l’analisi dei dati e la simulazione (FSE)","M6C2I1.3.1"
"323","Rafforzamento dell'infrastruttura tecnologica e degli strumenti per la raccolta, l'elaborazione, l'analisi dei dati e la simulazione (Potenziamento, modello predittivo, SDK ...)","M6C2I1.3.2"
"232","Rafforzamento e potenziamento della ricerca biomedica del SSN","M6C2I2.1"
"329","Sviluppo delle competenze tecniche, professionali, digitali e manageriali del personale del sistema sanitario","M6C2I2.2"
"330","Sviluppo delle competenze tecniche-professionali, digitali e manageriali del personale del sistema sanitario. Sub-misura: borse aggiuntive in formazione di medicina generale","M6C2I2.2.A"
"331","Sviluppo delle competenze tecniche-professionali, digitali e manageriali del personale del sistema sanitario: Sub-misura: corso di formazione in infezioni ospedaliere","M6C2I2.2.B"
"332","Sviluppo delle competenze tecniche-professionali, digitali e manageriali del personale del sistema sanitario: Sub-misura: corso di formazione manageriale","M6C2I2.2.C"
"233","Sviluppo delle competenze tecniche-professionali, digitali e manageriali del personale del sistema sanitario. Sub-misure: contratti di formazione medico-specialistica.","M6C2I2.2.D"
"234","Revisione e aggiornamento dell'assetto regolamentare degli Istituti di ricovero e cura a carattere scientifico (IRCCS) e delle politiche di ricerca del Ministero della Salute, con l'obiettivo di rafforzare il rapporto fra ricerca, innovazione e cure","M6C2R1.1"
"428","Progetti pilota sulle competenze ""Crescere Green""","M7C1I10.1"
"427","Misura rafforzata: Rafforzamento smart grid","M7C1I1.1"
"429","Misura rafforzata: Potenziamento del parco ferroviario regionale per il trasporto pubblico con treni a zero emissioni e servizio universale","M7C1I11.1"
"431","Linea Adriatica Fase 1 (centrale di compressione di Sulmona e gasdotto Sestino-Minerbio)","M7C1I13.1"
"432","Infrastruttura transfrontaliera per l'esportazione del gas","M7C1I14.1"
"499","Transizione 5.0","M7C1I15.1"
"408","Transizione 5.0 - Credito d'imposta","M7C1I15.1.1"
